Year,Serie,RefArea,Value
2010,Residuos urbanos recogidos per cápita,España,523.6
2011,Residuos urbanos recogidos per cápita,España,498.16
2012,Residuos urbanos recogidos per cápita,España,479.06
2013,Residuos urbanos recogidos per cápita,España,467.69
2014,Residuos urbanos recogidos per cápita,España,459.33
2015,Residuos urbanos recogidos per cápita,España,466.67
2016,Residuos urbanos recogidos per cápita,España,471.24
2017,Residuos urbanos recogidos per cápita,España,484.09
2018,Residuos urbanos recogidos per cápita,España,485.62
2019,Residuos urbanos recogidos per cápita,España,483.39
2020,Residuos urbanos recogidos per cápita,España,472.73
2021,Residuos urbanos recogidos per cápita,España,494.1
2022,Residuos urbanos recogidos per cápita,España,492.4
2014,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,11.8
2015,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,12.71
2016,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,12.02
2017,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,12.73
2018,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,11.59
2019,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,10.99
2020,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,10.35
2021,Proporción de residuos municipales incinerados en relación al total de residuos municipales generados y tratados,España,10.85
2014,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,56.89
2015,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,56.77
2016,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,54.12
2017,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,51.16
2018,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,53.39
2019,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,51.05
2020,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,50.74
2021,Proporción de residuos municipales vertidos en relación al total de residuos municipales generados y tratados,España,46.87
2014,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,31.31
2015,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,30.52
2016,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,33.86
2017,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,36.11
2018,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,35.02
2019,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,37.96
2020,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,38.91
2021,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,42.28
