Year,Serie,Value
2010,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",15.1
2011,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",16.1
2012,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",15.4
2013,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",12.8
2014,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",14.0
2015,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",11.9
2016,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",9.2
2017,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",10.0
2018,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",10.0
2019,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",10.0
