Year,Serie,Región,Value
2017,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.84
2018,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,95.55
2019,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",España,94.75
2017,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",Cantabria,96.36
2018,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",Cantabria,97.25
2019,"Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil",Cantabria,91.67
2017,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,88.46
2018,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.79
2019,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,España,94.42
2017,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,Cantabria,98.36
2018,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,Cantabria,97.11
2019,Cobertura de vacunación de recuerdo contra neumococo en la población infantil,Cantabria,91.77
2017,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,93.14
2018,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,94.45
2019,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",España,94.26
2017,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",Cantabria,90.49
2018,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",Cantabria,92.94
2019,"Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil",Cantabria,92.62
2017,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,81.84
2018,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,79.41
2019,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,España,78.99
2017,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,Cantabria,79.12
2018,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,Cantabria,90.19
2019,Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes,Cantabria,75.45
