Year,Serie,Región,Value
2010,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.27
2011,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.27
2012,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.27
2013,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.25
2014,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.25
2015,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.26
2016,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.24
2017,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.25
2017,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.25
2018,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.24
2018,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.24
2019,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.22
2019,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.22
2020,Emisiones de CO2 de las unidades residentes por unidad de PIB,España,0.2
2010,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.43
2011,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.41
2012,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.42
2013,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.39
2014,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.39
2015,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.39
2016,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.38
2017,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.37
2017,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.39
2018,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.38
2018,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.38
2019,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.37
2019,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.37
2020,Emisiones de CO2 de las unidades residentes por unidad de PIB,Cantabria,0.37
2010,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.65
2011,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.63
2012,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.65
2013,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.62
2014,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.6
2015,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.6
2016,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.58
2017,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.57
2017,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.57
2018,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.6
2018,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.6
2019,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.58
2019,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.58
2020,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,España,0.57
2010,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.63
2011,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.53
2012,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.6
2013,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.5
2014,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.42
2015,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.42
2016,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.44
2017,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.45
2017,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.44
2018,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.57
2018,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.37
2019,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.62
2019,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.62
2020,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,Cantabria,1.41
2010,Emisiones de CO2 respecto al año 1990,España,30.76
2011,Emisiones de CO2 respecto al año 1990,España,31.8
2012,Emisiones de CO2 respecto al año 1990,España,29.06
2013,Emisiones de CO2 respecto al año 1990,España,16.98
2014,Emisiones de CO2 respecto al año 1990,España,18.92
2015,Emisiones de CO2 respecto al año 1990,España,25.4
2016,Emisiones de CO2 respecto al año 1990,España,21.73
2017,Emisiones de CO2 respecto al año 1990,España,26.72
2018,Emisiones de CO2 respecto al año 1990,España,25.5
2019,Emisiones de CO2 respecto al año 1990,España,18.57
2020,Emisiones de CO2 respecto al año 1990,España,-3.08
2010,Emisiones de CO2 respecto al año 1990,Cantabria,62.78
2011,Emisiones de CO2 respecto al año 1990,Cantabria,49.35
2012,Emisiones de CO2 respecto al año 1990,Cantabria,49.57
2013,Emisiones de CO2 respecto al año 1990,Cantabria,35.08
2014,Emisiones de CO2 respecto al año 1990,Cantabria,37.04
2015,Emisiones de CO2 respecto al año 1990,Cantabria,38.21
2016,Emisiones de CO2 respecto al año 1990,Cantabria,37.26
2017,Emisiones de CO2 respecto al año 1990,Cantabria,45.3
2018,Emisiones de CO2 respecto al año 1990,Cantabria,51.52
2019,Emisiones de CO2 respecto al año 1990,Cantabria,53.37
2020,Emisiones de CO2 respecto al año 1990,Cantabria,35.33
2010,Emisiones de CO2 respecto al año 2005,España,-20.44
2011,Emisiones de CO2 respecto al año 2005,España,-19.8
2012,Emisiones de CO2 respecto al año 2005,España,-21.47
2013,Emisiones de CO2 respecto al año 2005,España,-28.82
2014,Emisiones de CO2 respecto al año 2005,España,-27.64
2015,Emisiones de CO2 respecto al año 2005,España,-23.7
2016,Emisiones de CO2 respecto al año 2005,España,-25.93
2017,Emisiones de CO2 respecto al año 2005,España,-22.89
2018,Emisiones de CO2 respecto al año 2005,España,-23.63
2019,Emisiones de CO2 respecto al año 2005,España,-27.85
2020,Emisiones de CO2 respecto al año 2005,España,-41.03
2010,Emisiones de CO2 respecto al año 2005,Cantabria,-7.7
2011,Emisiones de CO2 respecto al año 2005,Cantabria,-15.31
2012,Emisiones de CO2 respecto al año 2005,Cantabria,-15.19
2013,Emisiones de CO2 respecto al año 2005,Cantabria,-23.41
2014,Emisiones de CO2 respecto al año 2005,Cantabria,-22.3
2015,Emisiones de CO2 respecto al año 2005,Cantabria,-21.63
2016,Emisiones de CO2 respecto al año 2005,Cantabria,-22.17
2017,Emisiones de CO2 respecto al año 2005,Cantabria,-17.61
2018,Emisiones de CO2 respecto al año 2005,Cantabria,-14.08
2019,Emisiones de CO2 respecto al año 2005,Cantabria,-13.03
2020,Emisiones de CO2 respecto al año 2005,Cantabria,-23.26
