Year,Serie,RefArea,Value
2015,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,65.23
2016,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,65.22
2017,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,67.49
2019,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,70.76
2020,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,72.84
2021,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,76.18
2015,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,Cantabria,62.43
2016,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,Cantabria,63.01
2017,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,Cantabria,66.16
2019,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,Cantabria,70.81
2020,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,Cantabria,64.89
2021,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,Cantabria,72.54
2015,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,95.15
2016,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,94.18
2017,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,93.16
2019,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,95.11
2020,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,95.54
2021,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,96.04
2015,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,Cantabria,96.5
2016,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,Cantabria,100.0
2017,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,Cantabria,96.93
2019,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,Cantabria,94.5
2020,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,Cantabria,82.4
2021,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,Cantabria,94.5
2015,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,España,61.28
2016,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,España,61.41
2017,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,España,64.11
2019,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,España,67.48
2020,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,España,69.68
2021,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,España,73.39
2015,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,Cantabria,62.43
2016,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,Cantabria,63.01
2017,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,Cantabria,66.16
2019,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,Cantabria,70.81
2020,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,Cantabria,62.8
2021,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática,Cantabria,69.85
