Year,Serie,RefArea,Value
2011,Proporción de mujeres en cargos directivos,España,29.95
2012,Proporción de mujeres en cargos directivos,España,30.21
2013,Proporción de mujeres en cargos directivos,España,30.76
2014,Proporción de mujeres en cargos directivos,España,30.88
2015,Proporción de mujeres en cargos directivos,España,31.38
2016,Proporción de mujeres en cargos directivos,España,32.2
2017,Proporción de mujeres en cargos directivos,España,30.59
2018,Proporción de mujeres en cargos directivos,España,32.13
2019,Proporción de mujeres en cargos directivos,España,33.23
2020,Proporción de mujeres en cargos directivos,España,34.97
2011,Proporción de mujeres en cargos directivos,Cantabria,26.5
2012,Proporción de mujeres en cargos directivos,Cantabria,25.07
2013,Proporción de mujeres en cargos directivos,Cantabria,25.76
2014,Proporción de mujeres en cargos directivos,Cantabria,25.19
2015,Proporción de mujeres en cargos directivos,Cantabria,28.93
2016,Proporción de mujeres en cargos directivos,Cantabria,40.38
2017,Proporción de mujeres en cargos directivos,Cantabria,33.53
2018,Proporción de mujeres en cargos directivos,Cantabria,23.36
2019,Proporción de mujeres en cargos directivos,Cantabria,26.42
2020,Proporción de mujeres en cargos directivos,Cantabria,32.29
2011,Proporción de mujeres en cargos directivos,España,28.09
2012,Proporción de mujeres en cargos directivos,España,28.78
2013,Proporción de mujeres en cargos directivos,España,29.34
2014,Proporción de mujeres en cargos directivos,España,29.42
2015,Proporción de mujeres en cargos directivos,España,30.35
2016,Proporción de mujeres en cargos directivos,España,30.31
2017,Proporción de mujeres en cargos directivos,España,30.92
2018,Proporción de mujeres en cargos directivos,España,31.91
2019,Proporción de mujeres en cargos directivos,España,33.73
2020,Proporción de mujeres en cargos directivos,España,36.48
2011,Proporción de mujeres en cargos directivos,Cantabria,23.23
2012,Proporción de mujeres en cargos directivos,Cantabria,24.94
2013,Proporción de mujeres en cargos directivos,Cantabria,22.47
2014,Proporción de mujeres en cargos directivos,Cantabria,27.91
2015,Proporción de mujeres en cargos directivos,Cantabria,31.64
2016,Proporción de mujeres en cargos directivos,Cantabria,30.63
2017,Proporción de mujeres en cargos directivos,Cantabria,25.34
2018,Proporción de mujeres en cargos directivos,Cantabria,23.9
2019,Proporción de mujeres en cargos directivos,Cantabria,20.87
2020,Proporción de mujeres en cargos directivos,Cantabria,39.73
2010,Proporción de mujeres en cargos directivos,España,35.18
2011,Proporción de mujeres en cargos directivos,España,35.57
2012,Proporción de mujeres en cargos directivos,España,35.88
2013,Proporción de mujeres en cargos directivos,España,36.25
2014,Proporción de mujeres en cargos directivos,España,36.6
2015,Proporción de mujeres en cargos directivos,España,36.79
2016,Proporción de mujeres en cargos directivos,España,37.1
2017,Proporción de mujeres en cargos directivos,España,37.2
2018,Proporción de mujeres en cargos directivos,España,37.47
2019,Proporción de mujeres en cargos directivos,España,37.67
2010,Proporción de mujeres en cargos directivos,Cantabria,37.02
2011,Proporción de mujeres en cargos directivos,Cantabria,37.47
2012,Proporción de mujeres en cargos directivos,Cantabria,37.71
2013,Proporción de mujeres en cargos directivos,Cantabria,37.87
2014,Proporción de mujeres en cargos directivos,Cantabria,38.03
2015,Proporción de mujeres en cargos directivos,Cantabria,38.19
2016,Proporción de mujeres en cargos directivos,Cantabria,38.43
2017,Proporción de mujeres en cargos directivos,Cantabria,38.69
2018,Proporción de mujeres en cargos directivos,Cantabria,38.74
2019,Proporción de mujeres en cargos directivos,Cantabria,38.8
